#separator:tab
#html:false
#notetype:Portuguese (EP) – Spoken Frequency
#deck:Portuguese::European Portuguese - Spoken - First 5000
#columns:Rank	Lemma_PT	POS_guess	Gloss_EN	Example_PT	Example_EN	Is_MWE	Raw_Freq	Freq_per_million	Tags
#tags column:10
52	nos	unk				0	1714773	2695.275	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
53	ao	det				0	1698378	2669.506	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::det source::opensubtitles_ep_v2018 variety::EP register::spoken
54	bom	intj				0	1679944	2640.531	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::intj source::opensubtitles_ep_v2018 variety::EP register::spoken
55	tudo	adj				0	1643479	2583.215	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
56	vir	verb				0	1638058	2574.695	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
57	tu	pron				0	1635437	2570.575	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
58	ficar	verb				0	1633494	2567.521	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
59	achar	verb				0	1599470	2514.042	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
60	porque	conj				0	1553081	2441.128	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
61	falar	verb				0	1547221	2431.917	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
62	agora	adv				0	1524247	2395.807	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
63	lá	pron				0	1483976	2332.509	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
64	quando	conj				0	1480857	2327.607	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
65	é que	mwe				1	1462674	2299.027	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
66	dever	verb				0	1412197	2219.687	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
67	precisar	verb				0	1397651	2196.824	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
68	não é	mwe				1	1350176	2122.203	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
69	deixar	verb				0	1341593	2108.712	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
70	lhe	pron				0	1328172	2087.617	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
71	onde	pron				0	1313921	2065.217	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
72	algum	pron				0	1311601	2061.571	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
73	quem	pron				0	1305493	2051.970	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
74	pensar	verb				0	1286667	2022.379	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
75	então	conj				0	1286620	2022.306	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
76	nada	noun				0	1264931	1988.215	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
77	é o	mwe				1	1242039	1952.233	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
78	mesmo	pron				0	1239751	1948.637	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
79	ou	conj				0	1188763	1868.494	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
80	conseguir	verb				0	1167263	1834.701	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
81	outro	pron				0	1161044	1824.926	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
82	teu	pron				0	1131125	1777.899	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
83	que não	mwe				1	1128481	1773.743	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
84	o meu	mwe				1	1114336	1751.510	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
85	vez	unk				0	1107708	1741.092	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
86	tua	noun				0	1095194	1721.423	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
87	esse	pron				0	1093312	1718.465	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
88	voltar	verb				0	1093198	1718.285	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
89	nosso	pron				0	1053176	1655.379	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
90	eles	unk				0	1000478	1572.548	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
91	nós	pron				0	994002	1562.369	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
92	dos	det				0	988361	1553.503	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::det source::opensubtitles_ep_v2018 variety::EP register::spoken
93	mim	pron				0	973760	1530.553	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
94	passar	verb				0	969011	1523.089	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
95	casa	noun				0	955324	1501.575	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
96	ouvir	verb				0	953687	1499.002	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
97	está bem	mwe				1	952160	1496.602	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
98	pai	unk				0	950336	1493.735	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
99	dia	noun				0	947601	1489.436	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
100	nunca	adv				0	924726	1453.482	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
101	tempo	noun				0	919188	1444.777	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
102	gostar	verb				0	912191	1433.779	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
103	até	prep				0	908314	1427.685	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::prep source::opensubtitles_ep_v2018 variety::EP register::spoken
104	parecer	verb				0	906178	1424.328	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
105	homem	noun				0	893114	1403.794	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
106	assim	conj				0	878061	1380.134	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
107	ainda	adv				0	866117	1361.360	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
108	encontrar	verb				0	856770	1346.669	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
109	é um	mwe				1	851394	1338.219	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
110	sair	verb				0	824873	1296.533	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
111	ano	unk				0	823843	1294.914	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
112	dois	num				0	820788	1290.112	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::num source::opensubtitles_ep_v2018 variety::EP register::spoken
113	melhor	adv				0	819023	1287.338	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
114	também	conj				0	802132	1260.789	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
115	quê	unk				0	801352	1259.563	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
116	pessoa	noun				0	798646	1255.309	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
117	favor	unk				0	791859	1244.642	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
118	desculpar	verb				0	783683	1231.791	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
119	certo	noun				0	778793	1224.105	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
120	matar	verb				0	777565	1222.174	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
121	levar	verb				0	776350	1220.265	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
122	olhar	verb				0	772545	1214.284	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
123	sobre	prep				0	770507	1211.081	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::prep source::opensubtitles_ep_v2018 variety::EP register::spoken
124	acontecer	verb				0	748215	1176.042	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
125	deus	unk				0	743244	1168.229	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
126	chegar	verb				0	737316	1158.911	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
127	tão	adv				0	736796	1158.094	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
128	ti	pron				0	734463	1154.427	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
129	mãe	unk				0	730211	1147.743	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
130	noite	unk				0	729476	1146.588	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
131	depois	adv				0	725729	1140.699	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
132	vida	noun				0	717153	1127.219	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
133	tentar	verb				0	713967	1122.211	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
134	andar	verb				0	710792	1117.221	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
135	talvez	adv				0	708195	1113.139	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
136	olá	intj				0	707644	1112.273	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::intj source::opensubtitles_ep_v2018 variety::EP register::spoken
137	sentir	verb				0	695604	1093.348	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
138	por favor	mwe				1	695109	1092.570	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
139	é uma	mwe				1	694192	1091.129	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::mwe source::opensubtitles_ep_v2018 variety::EP register::spoken
140	conhecer	verb				0	692821	1088.974	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
141	sempre	adv				0	691215	1086.450	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
142	chamar	verb				0	684461	1075.834	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
143	alguém	unk				0	681206	1070.718	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
144	nem	conj				0	677816	1065.389	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::conj source::opensubtitles_ep_v2018 variety::EP register::spoken
145	esperar	verb				0	672026	1056.288	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
146	acabar	verb				0	659767	1037.020	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
147	dele	pron				0	659670	1036.867	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
148	morrer	verb				0	648734	1019.678	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
149	sem	prep				0	648530	1019.358	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::prep source::opensubtitles_ep_v2018 variety::EP register::spoken
150	aquele	pron				0	632776	994.595	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::pron source::opensubtitles_ep_v2018 variety::EP register::spoken
151	senhor	unk				0	631290	992.260	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
152	das	det				0	622276	978.092	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::det source::opensubtitles_ep_v2018 variety::EP register::spoken
153	tipo	noun				0	604547	950.225	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
154	novo	noun				0	603783	949.024	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
155	pelo	noun				0	586014	921.095	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
156	amigo	noun				0	577694	908.018	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
157	ajudar	verb				0	576376	905.946	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
158	claro	noun				0	568613	893.744	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
159	algo	noun				0	565032	888.116	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
160	obrigar	verb				0	547850	861.109	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
161	sr	unk				0	546304	858.679	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
162	filho	noun				0	544782	856.287	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
163	parar	verb				0	543164	853.744	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
164	começar	verb				0	534981	840.882	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
165	verdade	noun				0	528876	831.286	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
166	primeiro	num				0	527955	829.838	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::num source::opensubtitles_ep_v2018 variety::EP register::spoken
167	obrigado	intj				0	527726	829.478	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::intj source::opensubtitles_ep_v2018 variety::EP register::spoken
168	antes	adv				0	525289	825.648	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
169	mulher	verb				0	525217	825.535	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
170	grande	noun				0	524602	824.568	freq::0001-0500 freq500::0001-0500 freq1000::0001-1000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
